Date,EUR_TL,USD_TL
2015-07-31,3.0518798828125,2.7876598834991455
2015-08-03,3.0350699424743652,2.7670700550079346
2015-08-04,3.0425400733947754,2.777329921722412
2015-08-05,3.0248401165008545,2.779400110244751
2015-08-06,3.0392398834228516,2.7850399017333984
2015-08-07,3.0319700241088867,2.775279998779297
2015-08-10,3.0478498935699463,2.779670000076294
2015-08-11,3.0480499267578125,2.766900062561035
2015-08-12,3.0679399967193604,2.7785799503326416
2015-08-13,3.0960400104522705,2.7753500938415527
2015-08-14,3.151050090789795,2.8230600357055664
2015-08-17,3.141079902648926,2.8320000171661377
2015-08-18,3.1777400970458984,2.8687500953674316
2015-08-19,3.1897099018096924,2.891319990158081
2015-08-20,3.2560200691223145,2.9261999130249023
2015-08-21,3.278140068054199,2.916640043258667
2015-08-24,3.359380006790161,2.954200029373169
2015-08-25,3.413719892501831,2.946959972381592
2015-08-26,3.3960399627685547,2.940500020980835
2015-08-27,3.3204400539398193,2.927449941635132
2015-08-28,3.272170066833496,2.90939998626709
2015-08-31,3.272170066833496,2.9180500507354736
2015-09-01,3.2743399143218994,2.915950059890747
2015-09-02,3.311039924621582,2.9318900108337402
2015-09-03,3.3021600246429443,2.941740036010742
2015-09-04,3.303539991378784,2.9702999591827393
2015-09-07,3.3859200477600098,3.0353500843048096
2015-09-08,3.383039951324463,3.0300400257110596
2015-09-09,3.3740499019622803,3.0090999603271484
2015-09-10,3.420180082321167,3.0465500354766846
2015-09-11,3.406680107116699,3.017280101776123
2015-09-14,3.4445900917053223,3.035799980163574
2015-09-15,3.455899953842163,3.055999994277954
2015-09-16,3.415519952774048,3.0297000408172607
2015-09-17,3.3868799209594727,2.9977099895477295
2015-09-18,3.4222400188446045,3.0071499347686768
2015-09-21,3.392810106277466,3.004349946975708
2015-09-22,3.3630499839782715,3.003499984741211
2015-09-23,3.364259958267212,3.026819944381714
2015-09-24,3.395009994506836,3.0371100902557373
2015-09-25,3.4065699577331543,3.047290086746216
2015-09-28,3.394629955291748,3.0427401065826416
2015-09-29,3.427449941635132,3.0529000759124756
2015-09-30,3.4199600219726562,3.038140058517456
2015-10-01,3.3777201175689697,3.023319959640503
2015-10-02,3.383419990539551,3.0246100425720215
2015-10-05,3.3636300563812256,2.996299982070923
2015-10-06,3.339200019836426,2.981920003890991
2015-10-07,3.331439971923828,2.9560000896453857
2015-10-08,3.306190013885498,2.937999963760376
2015-10-09,3.2644100189208984,2.8928699493408203
2015-10-12,3.3227999210357666,2.933039903640747
2015-10-13,3.3248701095581055,2.9286000728607178
2015-10-14,3.370620012283325,2.960930109024048
2015-10-15,3.342250108718872,2.9116899967193604
2015-10-16,3.273969888687134,2.8785998821258545
2015-10-19,3.288710117340088,2.894010066986084
2015-10-20,3.2906599044799805,2.905100107192993
2015-10-21,3.2929999828338623,2.899970054626465
2015-10-22,3.285490036010742,2.895210027694702
2015-10-23,3.1825098991394043,2.871880054473877
2015-10-26,3.2071399688720703,2.9100100994110107
2015-10-27,3.1956300735473633,2.888129949569702
2015-10-28,3.2045600414276123,2.9041500091552734
2015-10-29,3.1911799907684326,2.9197499752044678
2015-10-30,3.224100112915039,2.9347000122070312
2015-11-02,3.1386899948120117,2.8469998836517334
2015-11-03,3.110879898071289,2.8238298892974854
2015-11-04,3.099790096282959,2.8281400203704834
2015-11-05,3.111639976501465,2.8633999824523926
2015-11-06,3.1083199977874756,2.8589999675750732
2015-11-09,3.133970022201538,2.9200899600982666
2015-11-10,3.1408801078796387,2.919830083847046
2015-11-11,3.1288299560546875,2.914060115814209
2015-11-12,3.094409942626953,2.8732199668884277
2015-11-13,3.096790075302124,2.862920045852661
2015-11-16,3.0792899131774902,2.877929925918579
2015-11-17,3.078779935836792,2.881230115890503
2015-11-18,3.0538299083709717,2.869040012359619
2015-11-19,3.0536398887634277,2.8603599071502686
2015-11-20,3.050420045852661,2.843519926071167
2015-11-23,3.0109400749206543,2.8299400806427
2015-11-24,3.032639980316162,2.8495500087738037
2015-11-25,3.059269905090332,2.874000072479248
2015-11-26,3.0684800148010254,2.883699893951416
2015-11-27,3.104449987411499,2.9280900955200195
2015-11-30,3.0957601070404053,2.925649881362915
2015-12-01,3.077280044555664,2.910449981689453
2015-12-02,3.069230079650879,2.8882598876953125
2015-12-03,3.0665700435638428,2.8880999088287354
2015-12-04,3.14697003364563,2.882390022277832
2015-12-07,3.1446499824523926,2.8891899585723877
2015-12-08,3.1539900302886963,2.91117000579834
2015-12-09,3.169640064239502,2.9098401069641113
2015-12-10,3.2083399295806885,2.912600040435791
2015-12-11,3.2015299797058105,2.924329996109009
2015-12-14,3.259660005569458,2.967989921569824
2015-12-15,3.2806999683380127,2.983989953994751
