Price,Close,High,Low,Open,Volume
Ticker,KCHOL.IS,KCHOL.IS,KCHOL.IS,KCHOL.IS,KCHOL.IS
Date,,,,,
2015-05-05,9.409865379333496,9.563495687992868,9.371457619026879,9.52508792768625,2491644
2015-05-06,9.256237030029297,9.371459602772303,9.256237030029297,9.294644798466049,2123073
2015-05-07,9.141011238098145,9.25623451206432,9.102604212676471,9.17941899608687,5627293
2015-05-08,9.256237030029297,9.33305183433555,8.948975615102528,9.064198920412785,7375282
2015-05-11,9.409865379333496,9.448273139640113,9.333049858720262,9.333049858720262,3555692
2015-05-12,9.525089263916016,9.563497029610676,9.33305116800991,9.33305116800991,3982996
2015-05-13,9.678720474243164,9.755535274236301,9.486682375409508,9.486682375409508,3638318
2015-05-14,9.755535125732422,9.793942891427932,9.601904795517582,9.640312561213092,4772754
2015-05-15,9.678720474243164,9.832350806796647,9.640312707962991,9.793943040516474,3812401
2015-05-18,9.717126846313477,9.793942373643427,9.678719815215663,9.717126846313477,2897061
2015-05-19,9.717126846313477,9.717126846313477,9.717126846313477,9.717126846313477,0
2015-05-20,9.755535125732422,9.755535125732422,9.56349702982207,9.640312561213092,3622181
2015-05-21,9.717126846313477,9.90916493207119,9.678719815215663,9.832350137308401,3636050
2015-05-22,9.601903915405273,9.717126469363283,9.563496153230226,9.601903915405273,2020667
2015-05-25,9.448273658752441,9.563496213435819,9.409865896335603,9.52508845101898,1801520
2015-05-26,9.409865379333496,9.601903448299485,9.409865379333496,9.52508792768625,1777262
2015-05-27,9.409865379333496,9.409865379333496,9.179419550060889,9.371457619026879,3516908
2015-05-28,9.256237030029297,9.33305183433555,9.217829261592543,9.256237030029297,2292410
2015-05-29,9.141011238098145,9.56349511084002,9.064196454687746,9.294642270053046,5679801
2015-06-01,8.987381935119629,9.1410122515401,8.948974172872727,9.064197459613432,1986001
2015-06-02,9.02579116821289,9.064198936718737,8.948975631201199,9.02579116821289,1600088
2015-06-03,9.409865379333496,9.48668089994673,9.179419550060889,9.179419550060889,6744891
2015-06-04,9.371459007263184,9.525089338680507,9.333051241267052,9.333051241267052,3775532
2015-06-05,9.333050727844238,9.48668178337733,9.333050727844238,9.37145849172751,2477648
2015-06-08,9.102605819702148,9.141012851904417,8.987382525393798,9.025790290163247,2030909
2015-06-09,9.141011238098145,9.217826754075595,9.064196454687746,9.102604212676471,2606931
2015-06-10,9.256237030029297,9.33305183433555,9.141013724719038,9.217829261592543,3346986
2015-06-11,9.294644355773926,9.333051389814148,9.179421055951607,9.179421055951607,2117161
2015-06-12,9.294644355773926,9.371459156421588,9.256236589166488,9.294644355773926,1406501
2015-06-15,9.256237030029297,9.256237030029297,9.179421493155791,9.179421493155791,1469186
2015-06-16,9.256237030029297,9.371459602772303,9.256237030029297,9.294644798466049,1775246
2015-06-17,9.217827796936035,9.25623555927003,9.179420034602042,9.179420034602042,1397663
2015-06-18,9.371459007263184,9.448274539255449,9.294644207838125,9.333051241267052,1412401
2015-06-19,9.409865379333496,9.52508792768625,9.409865379333496,9.409865379333496,1981636
2015-06-22,9.563496589660645,9.60190435358843,9.409866266516662,9.486681794372236,1852613
2015-06-23,9.601903915405273,9.678719439755367,9.525088391055178,9.601903915405273,1893789
2015-06-24,9.640312194824219,9.717126990728623,9.60190443058843,9.678719959060006,1034722
2015-06-25,9.563496589660645,9.60190435358843,9.486681794372236,9.60190435358843,2741733
2015-06-26,9.525089263916016,9.601904795305337,9.486682230788555,9.525089263916016,1358668
2015-06-29,9.448273658752441,9.448273658752441,9.333050371501926,9.371458133918765,1086843
2015-06-30,9.525089263916016,9.640312561,9.486682230788555,9.525089263916016,2487987
